"targetanimal","bodies","clothes","furniture","garden","electro","pensils","toys","buildmaterials","dishes","music","sport","transport","instruments","distractors","targetanimals","targetword_series2","fruits","animals","","","",""
"корова","рука","рубашка","стул","грабли","лампа","ручка","кубик","кирпич","чашка","скрипка","ракетка","самолет","молоток","лев","корова","абрикос","яблоко","корова","","","",""
"овца","нога","платье","диван","лопата","фен","линейка","юла","бетон","тарелка","флейта","штанга","вертолет","дрель","мышь","овца","груша","груша","бык","","","",""
"коза","плечо","куртка","шкаф","мотыга","тостер","ластик","пазл","цемент","кружка","арфа","коньки","автобус","отвертка","медведь","коза","слива","слива","свинья","","","",""
"осел","лицо","брюки","полка","секатор","чайник","степлер","робот","доска","блюдце","свирель","клюшка","трамвай","пила","курица","осел","лайм","персик","овца","","","",""
"бита","шея","свитер","лавка","тяпка","утюг","тетрадь","машинка","арматура","миска","труба","мячик","поезд","рубанок","свинья","утенок","манго","абрикос","коза","","","",""
"волк","локоть","жилет","кресло","вилы","плита","папка","мяч","плита","кувшин","гитара","диск","метро","ключ","бык","волк","арбуз","лимон","гусь","","","",""
"лось","палец","майка","комод","серп","миксер","бумага","кран","камень","ваза","пианино","шлем","мотоцикл","клещи","заяц","лось","капуста","лайм","осел","","","",""
"олень","губа","перчатка","пуфик","лейка","насос","маркер","картина","песок","кастрюля","барабан","лыжи","скутер","стамеска","крыса","олень","тыква","манго","индюк","","","",""
"бобр","зубы","шапка","табурет","скребок","колонка","ножницы","домино","гранит","ковш","баян","меч","такси","рулетка","петух","бобр","батат","финик","петух","","","",""
"слон","колено","шарф","стенка","ножовка","батарея","скрепка","кукла","щебень","графин","","гантель","грузовик","кувалда","тигр","слон","петрушка","вишня","баран","","","",""
"обезьяна","пятка","кофта","столик","шланг","проектор","чернила","","гипс","нож","","сетка","фура","шило","гусь","обезьяна","редька","киви","утенок","","","",""
"собака","ступня","жилетка","стол","тачка","пылесос","бумажник","","бревно","вилка","","бита","колесо","долото","белка","собака","салат","дыня","жеребец","","","",""
"кошка","затылок","плащ","кровать","совок","телефон","чертеж","","гвоздь","терка","","рюкзак","шоссе","кусачки","верблюд","кошка","щавель","арбуз","волк","","","",""
"лошадь","ребро","мантия","скамья","коса","ноутбук","карандаш","","саморез","ковшик","","","вокзал","кирка","баран","лошадь","шпинат","морковь","лиса","","","",""
"кубик","челюсть","шуба","буфет","ведро","наушники","блокнот","","шуруп","половник","","","аэропорт","топор","лиса","кролик","баклажан","капуста","заяц","","","",""
"носорог","язык","","кушетка","","планшет","дырокол","","краска","сито","","","машина","","шакал","носорог","спаржа","редис","медведь","","","",""
"леопард","ухо","","вешалка","","монитор","файл","","стекло","ложка","","","самокат","","","леопард","репа","свекла","кабан","","","",""
"бегемот","нос","","стеллаж","","","конверт","","обои","чайник","","","джип","","","бегемот","кукуруза","лук","лось","","","",""
"соболь","глаз","","","","","клей","","ламинат","дуршлаг","","","мотор","","","соболь","фасоль","горох","олень","","","",""
"сорока","кожа","","","","","циркуль","","","скалка","","","","","","сорока","кабачок","кабачок","бобр","","","",""
"росомаха","","","","","","","","","","","","","","","росомаха","авокадо","репа","белка","","","",""
"хорек","","","","","","","","","","","","","","","хорек","свекла","редька","рысь","","","",""
"дуршлаг","","","","","","","","","","","","","","","дикобраз","томат","перец","барсук","","","",""
"енот","","","","","","","","","","","","","","","енот","апельсин","батат","слон","","","",""
"коала","","","","","","","","","","","","","","","коала","мандарин","помидор","лев","","","",""
"косуля","","","","","","","","","","","","","","","косуля","банан","огурец","тигр","","","",""
"шланг","","","","","","","","","","","","","","","горилла","ананас","тыква","обезьяна","","","",""
"хомяк","","","","","","","","","","","","","","","хомяк","виноград","чеснок","кенгуру","","","",""
