"target_11","bodies2","clothes2","furniture2","garden2","electro2","pensils2","toys2","buildmaterials2","dishes2","music2","sport2","transport2","instruments2","distractors2","targetword12","targetword_series2","","fruits2","","animals2","",""
"лопата","рука","рубашка","стул","грабли","лампа","ручка","кубик","кирпич","чашка","скрипка","ракетка","самолет","молоток","лев","корова","абрикос","","яблоко","","корова","",""
"верблюд","нога","платье","диван","лопата","фен","линейка","юла","бетон","тарелка","флейта","штанга","вертолет","дрель","мышь","овца","груша","","груша","","бык","",""
"монитор","плечо","куртка","шкаф","мотыга","тостер","ластик","пазл","цемент","кружка","арфа","коньки","автобус","отвертка","медведь","коза","слива","","слива","","свинья","",""
"ножовка","лицо","брюки","полка","секатор","чайник","степлер","робот","доска","блюдце","свирель","клюшка","трамвай","пила","курица","осел","лайм","","персик","","овца","",""
"самокат","шея","свитер","лавка","тяпка","утюг","тетрадь","машинка","арматура","миска","труба","мячик","поезд","рубанок","свинья","утенок","манго","","абрикос","","коза","",""
"долото","локоть","жилет","кресло","вилы","плита","папка","мяч","плита","кувшин","гитара","диск","метро","ключ","бык","волк","арбуз","","лимон","","гусь","",""
"кровать","палец","майка","комод","серп","миксер","бумага","кран","камень","ваза","пианино","шлем","мотоцикл","клещи","заяц","лось","капуста","","лайм","","осел","",""
"комод","губа","перчатка","пуфик","лейка","насос","маркер","картина","песок","кастрюля","барабан","лыжи","скутер","стамеска","крыса","олень","тыква","","манго","","индюк","",""
"мотоцикл","зубы","шапка","табурет","скребок","колонка","ножницы","домино","гранит","ковш","баян","меч","такси","рулетка","петух","бобр","батат","","финик","","петух","",""
"шланг","колено","шарф","стенка","ножовка","батарея","скрепка","кукла","щебень","графин","","гантель","грузовик","кувалда","тигр","слон","петрушка","","вишня","","баран","",""
"пианино","пятка","кофта","столик","шланг","проектор","чернила","","гипс","нож","","сетка","фура","шило","гусь","обезьяна","редька","","киви","","утенок","",""
"молоток","ступня","жилетка","стол","тачка","пылесос","бумажник","","бревно","вилка","","бита","колесо","долото","белка","собака","салат","","дыня","","жеребец","",""
"нож","затылок","плащ","кровать","совок","телефон","чертеж","","гвоздь","терка","","рюкзак","шоссе","кусачки","верблюд","кошка","щавель","","арбуз","","волк","",""
"тяпка","ребро","мантия","скамья","коса","ноутбук","карандаш","","саморез","ковшик","","","вокзал","кирка","баран","лошадь","шпинат","","морковь","","лиса","",""
"полка","челюсть","шуба","буфет","ведро","наушники","блокнот","","шуруп","половник","","","аэропорт","топор","лиса","кролик","баклажан","","капуста","","заяц","",""
"метро","язык","","кушетка","","планшет","дырокол","","краска","сито","","","машина","","шакал","носорог","спаржа","","редис","","медведь","",""
"майка","ухо","","вешалка","","монитор","файл","","стекло","ложка","","","самокат","","","леопард","репа","","свекла","","кабан","",""
"жилет","нос","","стеллаж","","","конверт","","обои","чайник","","","джип","","","бегемот","кукуруза","","лук","","лось","",""
"бетон","глаз","","","","","клей","","ламинат","дуршлаг","","","мотор","","","соболь","фасоль","","горох","","олень","",""
"кушетка","кожа","","","","","циркуль","","","скалка","","","","","","норка","кабачок","","кабачок","","бобр","",""
"мотыга","","","","","","","","","","","","","","","росомаха","авокадо","","репа","","белка","",""
"кожа","","","","","","","","","","","","","","","хорек","свекла","","редька","","рысь","",""
"столик","","","","","","","","","","","","","","","дикобраз","томат","","перец","","барсук","",""
"колонка","","","","","","","","","","","","","","","енот","апельсин","","батат","","слон","",""
"локоть","","","","","","","","","","","","","","","коала","мандарин","","помидор","","лев","",""
"сито","","","","","","","","","","","","","","","косуля","банан","","огурец","","тигр","",""
"ножницы","","","","","","","","","","","","","","","горилла","ананас","","тыква","","обезьяна","",""
"песок","","","","","","","","","","","","","","","хомяк","виноград","","чеснок","","кенгуру","",""
"серп","","","","","","","","","","","","","","","щенок","гранат","","петрушка","","собака","",""
"аэропорт","","","","","","","","","","","","","","","котенок","облепиха","","укроп","","кошка","",""
"лопата","","","","","","","","","","","","","","","","","","салат","","лошадь","",""
"скребок","","","","","","","","","","","","","","","","","","щавель","","мышь","",""
"монитор","","","","","","","","","","","","","","","","","","шпинат","","кролик","",""
"ножовка","","","","","","","","","","","","","","","","","","баклажан","","верблюд","",""
"самокат","","","","","","","","","","","","","","","","","","спаржа","","носорог","",""
"долото","","","","","","","","","","","","","","","","","","брокколи","","жираф","",""
"гипс","","","","","","","","","","","","","","","","","","кукуруза","","леопард","",""
"комод","","","","","","","","","","","","","","","","","","фасоль","","пантера","",""
"мотоцикл","","","","","","","","","","","","","","","","","","имбирь","","гепард","",""
"отвертка","","","","","","","","","","","","","","","","","","авокадо","","зебра","",""
"пианино","","","","","","","","","","","","","","","","","","оливки","","бегемот","",""
"молоток","","","","","","","","","","","","","","","","","","томат","","куница","",""
"нож","","","","","","","","","","","","","","","","","","апельсин","","соболь","",""
"рубанок","","","","","","","","","","","","","","","","","","мандарин","","норка","",""
"полка","","","","","","","","","","","","","","","","","","банан","","выдра","",""
"метро","","","","","","","","","","","","","","","","","","ананас","","росомаха","",""
"топор","","","","","","","","","","","","","","","","","","черешня","","хорек","",""
"затылок","","","","","","","","","","","","","","","","","","виноград","","дикобраз","",""
"бетон","","","","","","","","","","","","","","","","","","гранат","","суслик","",""
"джип","","","","","","","","","","","","","","","","","","инжир","","шакал","",""
"мотыга","","","","","","","","","","","","","","","","","","клубника","","гиена","",""
"кожа","","","","","","","","","","","","","","","","","","малина","","скунс","",""
"столик","","","","","","","","","","","","","","","","","","черника","","енот","",""
"степлер","","","","","","","","","","","","","","","","","","голубика","","коала","",""
"локоть","","","","","","","","","","","","","","","","","","брусника","","панда","",""
"сито","","","","","","","","","","","","","","","","","","клюква","","косуля","",""
"ножницы","","","","","","","","","","","","","","","","","","облепиха","","горилла","",""
"песок","","","","","","","","","","","","","","","","","","","","шимпанзе","",""
"автобус","","","","","","","","","","","","","","","","","","","","макака","",""
"аэропорт","","","","","","","","","","","","","","","","","","","","капибара","",""
"лопата","","","","","","","","","","","","","","","","","","","","хомяк","",""
"скребок","","","","","","","","","","","","","","","","","","","","крыса","",""
"монитор","","","","","","","","","","","","","","","","","","","","щенок","",""
"перчатка","","","","","","","","","","","","","","","","","","","","котенок","",""
"самокат","","","","","","","","","","","","","","","","","","","","курица","",""
"долото","","","","","","","","","","","","","","","","","","","","","",""
"кровать","","","","","","","","","","","","","","","","","","","","","",""
"клещи","","","","","","","","","","","","","","","","","","","","","",""
"мотоцикл","","","","","","","","","","","","","","","","","","","","","",""
"кирпич","","","","","","","","","","","","","","","","","","","","","",""
"пианино","","","","","","","","","","","","","","","","","","","","","",""
"лампа","","","","","","","","","","","","","","","","","","","","","",""
"нож","","","","","","","","","","","","","","","","","","","","","",""
"тарелка","","","","","","","","","","","","","","","","","","","","","",""
"полка","","","","","","","","","","","","","","","","","","","","","",""
"метро","","","","","","","","","","","","","","","","","","","","","",""
"топор","","","","","","","","","","","","","","","","","","","","","",""
"затылок","","","","","","","","","","","","","","","","","","","","","",""
"бетон","","","","","","","","","","","","","","","","","","","","","",""
"половник","","","","","","","","","","","","","","","","","","","","","",""
"мотыга","","","","","","","","","","","","","","","","","","","","","",""
"кожа","","","","","","","","","","","","","","","","","","","","","",""
"тетрадь","","","","","","","","","","","","","","","","","","","","","",""
"колонка","","","","","","","","","","","","","","","","","","","","","",""
"ластик","","","","","","","","","","","","","","","","","","","","","",""
"сито","","","","","","","","","","","","","","","","","","","","","",""
"ножницы","","","","","","","","","","","","","","","","","","","","","",""
"камень","","","","","","","","","","","","","","","","","","","","","",""
"автобус","","","","","","","","","","","","","","","","","","","","","",""
"аэропорт","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
